seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	distanceToTES	feature	min_dist	min_region	feature2
Chr1	22739	22739	1	*	all_cutsites_peak_12	.	.	Promoter	1	23121	31227	8107	1	AT1G01040	-382	-8488	Promoter	-382	TSS	TSS
Chr1	23082	23082	1	*	all_cutsites_peak_13	.	.	Promoter	1	23121	31227	8107	1	AT1G01040	-39	-8145	Promoter	-39	TSS	TSS
Chr1	30988	30988	1	*	all_cutsites_peak_14	.	.	Exon (AT1G01040.1/AT1G01040, exon 20 of 20)	1	23121	31227	8107	1	AT1G01040	7867	-239	Exon	-239	TES	TES
Chr1	33523	33523	1	*	all_cutsites_peak_15	.	.	3' UTR	1	33365	37871	4507	2	AT1G01060	4348	-158	3' UTR	-158	TES	TES
Chr1	38067	38067	1	*	all_cutsites_peak_16	.	.	Promoter	1	33365	37871	4507	2	AT1G01060	-196	-4702	Promoter	-196	TSS	TSS
Chr1	39217	39217	1	*	all_cutsites_peak_17	.	.	Exon (AT1G01070.1/AT1G01070, exon 5 of 6)	1	38444	41017	2574	2	AT1G01070	1800	-773	Exon	-773	TES	Gene Body
Chr1	40273	40273	1	*	all_cutsites_peak_18	.	.	Exon (AT1G01070.1/AT1G01070, exon 3 of 6)	1	38444	41017	2574	2	AT1G01070	744	-1829	Exon	744	TSS	Gene Body
Chr1	44485	44485	1	*	all_cutsites_peak_19	.	.	Distal Intergenic	1	43087	43295	209	2	AT1G04003	-1190	-1398	Distal Intergenic	-1190	TSS	Intergenic
Chr1	45019	45019	1	*	all_cutsites_peak_20	.	.	3' UTR	1	44970	47059	2090	2	AT1G01080	2040	-49	3' UTR	-49	TES	TES
Chr1	46893	46893	1	*	all_cutsites_peak_21	.	.	Promoter	1	44970	47059	2090	2	AT1G01080	166	-1923	Promoter	166	TSS	TSS
Chr1	49954	49954	1	*	all_cutsites_peak_22	.	.	3' UTR	1	49909	51210	1302	2	AT1G01100	1256	-45	3' UTR	-45	TES	TES
Chr1	51318	51318	1	*	all_cutsites_peak_23	.	.	Promoter	1	49909	51210	1302	2	AT1G01100	-108	-1409	Promoter	-108	TSS	TSS
Chr1	55475	55475	1	*	all_cutsites_peak_24	.	.	Distal Intergenic	1	51953	54737	2785	1	AT1G01110	3522	738	Distal Intergenic	738	TES	Intergenic
Chr1	57271	57271	1	*	all_cutsites_peak_25	.	.	3' UTR	1	57164	59215	2052	2	AT1G01120	1944	-107	3' UTR	-107	TES	TES
Chr1	58606	58606	1	*	all_cutsites_peak_26	.	.	Exon (AT1G01120.1/AT1G01120, exon 1 of 1)	1	57164	59215	2052	2	AT1G01120	609	-1442	Exon	609	TSS	Gene Body
Chr1	59218	59218	1	*	all_cutsites_peak_27	.	.	Promoter	1	57164	59215	2052	2	AT1G01120	-3	-2054	Promoter	-3	TSS	TSS
Chr1	60351	60351	1	*	all_cutsites_peak_28	.	.	Distal Intergenic	1	57164	59215	2052	2	AT1G01120	-1136	-3187	Distal Intergenic	-1136	TSS	Intergenic
Chr1	61724	61724	1	*	all_cutsites_peak_29	.	.	Distal Intergenic	1	61905	63811	1907	2	AT1G01130	2087	181	Distal Intergenic	181	TES	TES
Chr1	62562	62562	1	*	all_cutsites_peak_30	.	.	Intron (AT1G01130.1/AT1G01130, intron 1 of 2)	1	61905	63811	1907	2	AT1G01130	1249	-657	Intron	-657	TES	Gene Body
Chr1	63370	63370	1	*	all_cutsites_peak_31	.	.	Promoter	1	61905	63811	1907	2	AT1G01130	441	-1465	Promoter	441	TSS	TSS
Chr1	63989	63989	1	*	all_cutsites_peak_32	.	.	Promoter	1	61905	63811	1907	2	AT1G01130	-178	-2084	Promoter	-178	TSS	TSS
Chr1	64600	64600	1	*	all_cutsites_peak_33	.	.	Exon (AT1G01140.1/AT1G01140, exon 13 of 14)	1	64166	67774	3609	2	AT1G01140	3174	-434	Exon	-434	TES	TES
Chr1	67687	67687	1	*	all_cutsites_peak_34	.	.	Promoter	1	64166	67774	3609	2	AT1G01140	87	-3521	Promoter	87	TSS	TSS
Chr1	68801	68801	1	*	all_cutsites_peak_35	.	.	Distal Intergenic	1	64166	67774	3609	2	AT1G01140	-1027	-4635	Distal Intergenic	-1027	TSS	Intergenic
Chr1	72276	72276	1	*	all_cutsites_peak_36	.	.	Promoter	1	72339	74096	1758	1	AT1G01160	-63	-1820	Promoter	-63	TSS	TSS
Chr1	74750	74750	1	*	all_cutsites_peak_37	.	.	Promoter	1	73931	74737	807	2	AT1G01170	-13	-819	Promoter	-13	TSS	TSS
Chr1	75405	75405	1	*	all_cutsites_peak_38	.	.	Promoter	1	75390	76845	1456	1	AT1G01180	15	-1440	Promoter	15	TSS	TSS
Chr1	76406	76406	1	*	all_cutsites_peak_39	.	.	Exon (AT1G01180.1/AT1G01180, exon 1 of 1)	1	75390	76845	1456	1	AT1G01180	1016	-439	Exon	-439	TES	TES
Chr1	77695	77695	1	*	all_cutsites_peak_40	.	.	Promoter	1	77537	80345	2809	1	AT1G08765	158	-2650	Promoter	158	TSS	TSS
Chr1	79634	79634	1	*	all_cutsites_peak_41	.	.	Exon (AT1G08765.1/AT1G08765, exon 2 of 2)	1	77537	80345	2809	1	AT1G08765	2097	-711	Exon	-711	TES	Gene Body
Chr1	80130	80130	1	*	all_cutsites_peak_42	.	.	Exon (AT1G08765.1/AT1G08765, exon 2 of 2)	1	77537	80345	2809	1	AT1G08765	2593	-215	Exon	-215	TES	TES
Chr1	81988	81988	1	*	all_cutsites_peak_43	.	.	Distal Intergenic	1	78927	79037	111	2	AT1G01183	-2951	-3061	Distal Intergenic	-2951	TSS	Intergenic
Chr1	83304	83304	1	*	all_cutsites_peak_44	.	.	Exon (AT1G01190.1/AT1G01190, exon 2 of 2)	1	82984	84946	1963	2	AT1G01190	1642	-320	Exon	-320	TES	TES
Chr1	86674	86674	1	*	all_cutsites_peak_45	.	.	3' UTR	1	86486	88409	1924	2	AT1G01200	1735	-188	3' UTR	-188	TES	TES
Chr1	87100	87100	1	*	all_cutsites_peak_46	.	.	Exon (AT1G01200.1/AT1G01200, exon 2 of 2)	1	86486	88409	1924	2	AT1G01200	1309	-614	Exon	-614	TES	Gene Body
Chr1	88517	88517	1	*	all_cutsites_peak_47	.	.	Promoter	1	88622	90502	1881	1	AT1G01210	-105	-1985	Promoter	-105	TSS	TSS
Chr1	91345	91345	1	*	all_cutsites_peak_48	.	.	Promoter	1	91342	95681	4340	1	AT1G01220	3	-4336	Promoter	3	TSS	TSS
Chr1	95850	95850	1	*	all_cutsites_peak_49	.	.	Promoter	1	95935	97407	1473	1	AT1G01225	-85	-1557	Promoter	-85	TSS	TSS
Chr1	97431	97431	1	*	all_cutsites_peak_50	.	.	Promoter	1	97412	99240	1829	1	AT1G01230	19	-1809	Promoter	19	TSS	TSS
Chr1	99383	99383	1	*	all_cutsites_peak_51	.	.	Promoter	1	99865	101987	2123	1	AT1G01240	-482	-2604	Promoter	-482	TSS	TSS
Chr1	106424	106424	1	*	all_cutsites_peak_52	.	.	Distal Intergenic	1	104440	105330	891	2	AT1G01250	-1094	-1984	Distal Intergenic	-1094	TSS	Intergenic
Chr1	107782	107782	1	*	all_cutsites_peak_53	.	.	Distal Intergenic	1	108946	111699	2754	1	AT1G01260	-1164	-3917	Distal Intergenic	-1164	TSS	Intergenic
Chr1	108953	108953	1	*	all_cutsites_peak_54	.	.	Promoter	1	108946	111699	2754	1	AT1G01260	7	-2746	Promoter	7	TSS	TSS
Chr1	111965	111965	1	*	all_cutsites_peak_55	.	.	Promoter	1	111890	111961	72	2	AT1G01270	-4	-75	Promoter	-4	TSS	TSS
Chr1	112454	112454	1	*	all_cutsites_peak_56	.	.	Promoter	1	112263	113947	1685	1	AT1G01280	191	-1493	Promoter	191	TSS	TSS
Chr1	114223	114223	1	*	all_cutsites_peak_57	.	.	Promoter	1	114202	116407	2206	1	AT1G01290	21	-2184	Promoter	21	TSS	TSS
Chr1	116081	116081	1	*	all_cutsites_peak_58	.	.	3' UTR	1	114202	116407	2206	1	AT1G01290	1879	-326	3' UTR	-326	TES	TES
Chr1	118739	118739	1	*	all_cutsites_peak_59	.	.	3' UTR	1	116784	118845	2062	1	AT1G01300	1955	-106	3' UTR	-106	TES	TES
Chr1	120667	120667	1	*	all_cutsites_peak_60	.	.	Exon (AT1G01310.1/AT1G01310, exon 1 of 1)	1	120154	121130	977	1	AT1G01310	513	-463	Exon	-463	TES	TES
Chr1	128460	128460	1	*	all_cutsites_peak_61	.	.	Intron (AT1G01320.3/AT1G01320, intron 5 of 24)	1	121067	130577	9511	2	AT1G01320	2117	-7393	Intron	2117	TSS	Gene Body
Chr1	129950	129950	1	*	all_cutsites_peak_62	.	.	Intron (AT1G01320.3/AT1G01320, intron 2 of 24)	1	121067	130577	9511	2	AT1G01320	627	-8883	Intron	627	TSS	Gene Body
Chr1	131290	131290	1	*	all_cutsites_peak_63	.	.	Distal Intergenic	1	130736	130858	123	1	AT1G01335	554	432	Distal Intergenic	432	TES	TES
Chr1	136042	136042	1	*	all_cutsites_peak_64	.	.	Promoter	1	136090	138162	2073	1	AT1G01350	-48	-2120	Promoter	-48	TSS	TSS
Chr1	138314	138314	1	*	all_cutsites_peak_65	.	.	Promoter	1	138489	139680	1192	1	AT1G01355	-175	-1366	Promoter	-175	TSS	TSS
Chr1	140470	140470	1	*	all_cutsites_peak_66	.	.	Distal Intergenic	1	141870	143261	1392	1	AT1G01360	-1400	-2791	Distal Intergenic	-1400	TSS	Intergenic
Chr1	141111	141111	1	*	all_cutsites_peak_67	.	.	Distal Intergenic	1	141870	143261	1392	1	AT1G01360	-759	-2150	Distal Intergenic	-759	TSS	Intergenic
Chr1	141973	141973	1	*	all_cutsites_peak_68	.	.	Promoter	1	141870	143261	1392	1	AT1G01360	103	-1288	Promoter	103	TSS	TSS
Chr1	143472	143472	1	*	all_cutsites_peak_69	.	.	Promoter	1	143489	146479	2991	1	AT1G01370	-17	-3007	Promoter	-17	TSS	TSS
Chr1	145904	145904	1	*	all_cutsites_peak_70	.	.	3' UTR	1	143489	146479	2991	1	AT1G01370	2415	-575	3' UTR	-575	TES	Gene Body
Chr1	146402	146402	1	*	all_cutsites_peak_71	.	.	3' UTR	1	143489	146479	2991	1	AT1G01370	2913	-77	3' UTR	-77	TES	TES
Chr1	146986	146986	1	*	all_cutsites_peak_72	.	.	Promoter	1	147043	148014	972	1	AT1G01380	-57	-1028	Promoter	-57	TSS	TSS
Chr1	147955	147955	1	*	all_cutsites_peak_73	.	.	3' UTR	1	147043	148014	972	1	AT1G01380	912	-59	3' UTR	-59	TES	TES
Chr1	149273	149273	1	*	all_cutsites_peak_74	.	.	Exon (AT1G01390.2/AT1G01390, exon 1 of 1)	1	148013	149848	1836	2	AT1G01390	575	-1260	Exon	575	TSS	Gene Body
Chr1	156806	156806	1	*	all_cutsites_peak_75	.	.	3' UTR	1	156477	158823	2347	2	AT1G01430	2017	-329	3' UTR	-329	TES	TES
Chr1	157363	157363	1	*	all_cutsites_peak_76	.	.	Exon (AT1G01430.1/AT1G01430, exon 3 of 3)	1	156477	158823	2347	2	AT1G01430	1460	-886	Exon	-886	TES	Gene Body
Chr1	159515	159515	1	*	all_cutsites_peak_77	.	.	Distal Intergenic	1	156477	158823	2347	2	AT1G01430	-692	-3038	Distal Intergenic	-692	TSS	Intergenic
Chr1	163088	163088	1	*	all_cutsites_peak_78	.	.	Promoter	1	159628	162953	3326	2	AT1G01440	-135	-3460	Promoter	-135	TSS	TSS
Chr1	167204	167204	1	*	all_cutsites_peak_79	.	.	Exon (AT1G01453.1/AT1G01453, exon 1 of 2)	1	166589	168088	1500	2	AT1G01453	884	-615	Exon	-615	TES	Gene Body
Chr1	168320	168320	1	*	all_cutsites_peak_80	.	.	Promoter	1	166589	168088	1500	2	AT1G01453	-232	-1731	Promoter	-232	TSS	TSS
Chr1	171547	171547	1	*	all_cutsites_peak_81	.	.	3' UTR	1	171525	172948	1424	2	AT1G01470	1401	-22	3' UTR	-22	TES	TES
Chr1	173408	173408	1	*	all_cutsites_peak_82	.	.	Promoter	1	171525	172948	1424	2	AT1G01470	-460	-1883	Promoter	-460	TSS	TSS
Chr1	174744	174744	1	*	all_cutsites_peak_83	.	.	Distal Intergenic	1	175706	178406	2701	1	AT1G01480	-962	-3662	Distal Intergenic	-962	TSS	Intergenic
Chr1	177074	177074	1	*	all_cutsites_peak_84	.	.	Exon (AT1G01480.1/AT1G01480, exon 4 of 4)	1	175706	178406	2701	1	AT1G01480	1368	-1332	Exon	-1332	TES	Gene Body
Chr1	178968	178968	1	*	all_cutsites_peak_85	.	.	Distal Intergenic	1	175706	178406	2701	1	AT1G01480	3262	562	Distal Intergenic	562	TES	Intergenic
Chr1	182482	182482	1	*	all_cutsites_peak_86	.	.	Promoter	1	180017	182749	2733	2	AT1G01490	267	-2465	Promoter	267	TSS	TSS
Chr1	183506	183506	1	*	all_cutsites_peak_87	.	.	Distal Intergenic	1	180017	182749	2733	2	AT1G01490	-757	-3489	Distal Intergenic	-757	TSS	Intergenic
Chr1	184875	184875	1	*	all_cutsites_peak_88	.	.	Promoter	1	185033	187135	2103	1	AT1G01500	-158	-2260	Promoter	-158	TSS	TSS
Chr1	187060	187060	1	*	all_cutsites_peak_89	.	.	3' UTR	1	185033	187135	2103	1	AT1G01500	2027	-75	3' UTR	-75	TES	TES
Chr1	190398	190398	1	*	all_cutsites_peak_90	.	.	3' UTR	1	187145	190472	3328	1	AT1G01510	3253	-74	3' UTR	-74	TES	TES
Chr1	195053	195053	1	*	all_cutsites_peak_91	.	.	Distal Intergenic	1	195645	198787	3143	1	AT1G01540	-592	-3734	Distal Intergenic	-592	TSS	Intergenic
Chr1	198689	198689	1	*	all_cutsites_peak_92	.	.	3' UTR	1	195645	198787	3143	1	AT1G01540	3044	-98	3' UTR	-98	TES	TES
Chr1	199567	199567	1	*	all_cutsites_peak_93	.	.	Promoter	1	199527	201775	2249	1	AT1G01550	40	-2208	Promoter	40	TSS	TSS
Chr1	201972	201972	1	*	all_cutsites_peak_94	.	.	Promoter	1	202103	204440	2338	1	AT1G01560	-131	-2468	Promoter	-131	TSS	TSS
Chr1	204505	204505	1	*	all_cutsites_peak_95	.	.	Promoter	1	204935	207642	2708	1	AT1G01570	-430	-3137	Promoter	-430	TSS	TSS
Chr1	206892	206892	1	*	all_cutsites_peak_96	.	.	Exon (AT1G01570.2/AT1G01570, exon 2 of 3)	1	204935	207642	2708	1	AT1G01570	1957	-750	Exon	-750	TES	Gene Body
Chr1	207821	207821	1	*	all_cutsites_peak_97	.	.	Downstream (<=300bp)	1	208995	213082	4088	1	AT1G01580	-1174	-5261	Downstream (<=300bp)	-1174	TSS	Intergenic
Chr1	210741	210741	1	*	all_cutsites_peak_98	.	.	Intron (AT1G01580.2/AT1G01580, intron 4 of 7)	1	208995	213082	4088	1	AT1G01580	1746	-2341	Intron	1746	TSS	Gene Body
Chr1	218056	218056	1	*	all_cutsites_peak_99	.	.	Distal Intergenic	1	218834	221286	2453	1	AT1G01600	-778	-3230	Distal Intergenic	-778	TSS	Intergenic
Chr1	218800	218800	1	*	all_cutsites_peak_100	.	.	Promoter	1	218834	221286	2453	1	AT1G01600	-34	-2486	Promoter	-34	TSS	TSS
Chr1	220264	220264	1	*	all_cutsites_peak_101	.	.	Exon (AT1G01600.1/AT1G01600, exon 2 of 2)	1	218834	221286	2453	1	AT1G01600	1430	-1022	Exon	-1022	TES	Gene Body
Chr1	224902	224902	1	*	all_cutsites_peak_102	.	.	Distal Intergenic	1	221642	224351	2710	2	AT1G01610	-551	-3260	Distal Intergenic	-551	TSS	Intergenic
Chr1	225608	225608	1	*	all_cutsites_peak_103	.	.	Distal Intergenic	1	221642	224351	2710	2	AT1G01610	-1257	-3966	Distal Intergenic	-1257	TSS	Intergenic
Chr1	228023	228023	1	*	all_cutsites_peak_104	.	.	Promoter	1	225665	227543	1879	2	AT1G01620	-480	-2358	Promoter	-480	TSS	TSS
Chr1	232674	232674	1	*	all_cutsites_peak_105	.	.	Promoter	1	230908	232630	1723	2	AT1G01640	-44	-1766	Promoter	-44	TSS	TSS
Chr1	237872	237872	1	*	all_cutsites_peak_106	.	.	Promoter	1	232840	237905	5066	2	AT1G01650	33	-5032	Promoter	33	TSS	TSS
Chr1	239752	239752	1	*	all_cutsites_peak_107	.	.	Distal Intergenic	1	232840	237905	5066	2	AT1G01650	-1847	-6912	Distal Intergenic	-1847	TSS	Intergenic
Chr1	246069	246069	1	*	all_cutsites_peak_108	.	.	Promoter	1	242713	246054	3342	2	AT1G01670	-15	-3356	Promoter	-15	TSS	TSS
Chr1	248986	248986	1	*	all_cutsites_peak_109	.	.	Promoter	1	249041	252522	3482	1	AT1G01690	-55	-3536	Promoter	-55	TSS	TSS
Chr1	254676	254676	1	*	all_cutsites_peak_110	.	.	Promoter	1	254830	257582	2753	1	AT1G08775	-154	-2906	Promoter	-154	TSS	TSS
Chr1	255265	255265	1	*	all_cutsites_peak_111	.	.	Promoter	1	255022	255384	363	1	AT1G04033	243	-119	Promoter	-119	TES	TES
Chr1	262131	262131	1	*	all_cutsites_peak_112	.	.	Promoter	1	259307	261667	2361	2	AT1G01700	-464	-2824	Promoter	-464	TSS	TSS
Chr1	262706	262706	1	*	all_cutsites_peak_113	.	.	Promoter	1	262828	266324	3497	1	AT1G01710	-122	-3618	Promoter	-122	TSS	TSS
Chr1	266368	266368	1	*	all_cutsites_peak_114	.	.	Promoter	1	266333	267883	1551	1	AT1G01715	35	-1515	Promoter	35	TSS	TSS
Chr1	268172	268172	1	*	all_cutsites_peak_115	.	.	Promoter	1	267993	269819	1827	1	AT1G01720	179	-1647	Promoter	179	TSS	TSS
Chr1	269713	269713	1	*	all_cutsites_peak_116	.	.	3' UTR	1	267993	269819	1827	1	AT1G01720	1720	-106	3' UTR	-106	TES	TES
Chr1	270790	270790	1	*	all_cutsites_peak_117	.	.	Promoter	1	269792	270859	1068	2	AT1G01725	69	-998	Promoter	69	TSS	TSS
Chr1	274821	274821	1	*	all_cutsites_peak_118	.	.	Promoter	1	272111	274930	2820	2	AT1G01740	109	-2710	Promoter	109	TSS	TSS
Chr1	278559	278559	1	*	all_cutsites_peak_119	.	.	Promoter	1	276266	278599	2334	2	AT1G01760	40	-2293	Promoter	40	TSS	TSS
Chr1	282400	282400	1	*	all_cutsites_peak_120	.	.	Intron (AT1G01770.1/AT1G01770, intron 14 of 15)	1	278600	282891	4292	1	AT1G01770	3800	-491	Intron	-491	TES	TES
Chr1	284386	284386	1	*	all_cutsites_peak_121	.	.	Promoter	1	284350	291203	6854	1	AT1G01790	36	-6817	Promoter	36	TSS	TSS
Chr1	291207	291207	1	*	all_cutsites_peak_122	.	.	Downstream (<=300bp)	1	291594	292061	468	2	AT1G04063	854	387	Downstream (<=300bp)	387	TES	TES
Chr1	293133	293133	1	*	all_cutsites_peak_123	.	.	Promoter	1	293246	295086	1841	1	AT1G01800	-113	-1953	Promoter	-113	TSS	TSS
Chr1	295131	295131	1	*	all_cutsites_peak_124	.	.	Promoter	1	295207	295859	653	1	AT1G01810	-76	-728	Promoter	-76	TSS	TSS
Chr1	298490	298490	1	*	all_cutsites_peak_125	.	.	3' UTR	1	298451	302310	3860	2	AT1G01830	3820	-39	3' UTR	-39	TES	TES
Chr1	302630	302630	1	*	all_cutsites_peak_126	.	.	Promoter	1	298451	302310	3860	2	AT1G01830	-320	-4179	Promoter	-320	TSS	TSS
Chr1	306334	306334	1	*	all_cutsites_peak_127	.	.	Promoter	1	304133	306310	2178	2	AT1G01860	-24	-2201	Promoter	-24	TSS	TSS
Chr1	309223	309223	1	*	all_cutsites_peak_128	.	.	Promoter	1	306467	309541	3075	2	AT1G01880	318	-2756	Promoter	318	TSS	TSS
Chr1	310179	310179	1	*	all_cutsites_peak_129	.	.	Promoter	1	310169	313130	2962	1	AT1G01900	10	-2951	Promoter	10	TSS	TSS
Chr1	316046	316046	1	*	all_cutsites_peak_130	.	.	Promoter	1	313101	316090	2990	2	AT1G01910	44	-2945	Promoter	44	TSS	TSS
Chr1	319713	319713	1	*	all_cutsites_peak_131	.	.	Downstream (<=300bp)	1	322886	324917	2032	1	AT1G01940	-3173	-5204	Downstream (<=300bp)	-3173	TSS	Intergenic
Chr1	322937	322937	1	*	all_cutsites_peak_132	.	.	Promoter	1	322886	324917	2032	1	AT1G01940	51	-1980	Promoter	51	TSS	TSS
Chr1	325148	325148	1	*	all_cutsites_peak_133	.	.	Promoter	1	325316	330619	5304	1	AT1G01950	-168	-5471	Promoter	-168	TSS	TSS
Chr1	330462	330462	1	*	all_cutsites_peak_134	.	.	3' UTR	1	325316	330619	5304	1	AT1G01950	5146	-157	3' UTR	-157	TES	TES
Chr1	337937	337937	1	*	all_cutsites_peak_135	.	.	Promoter	1	330588	337912	7325	2	AT1G01960	-25	-7349	Promoter	-25	TSS	TSS
Chr1	342399	342399	1	*	all_cutsites_peak_136	.	.	Promoter	1	340108	342040	1933	2	AT1G01980	-359	-2291	Promoter	-359	TSS	TSS
Chr1	345147	345147	1	*	all_cutsites_peak_137	.	.	Promoter	1	345516	347603	2088	1	AT1G02000	-369	-2456	Promoter	-369	TSS	TSS
Chr1	352809	352809	1	*	all_cutsites_peak_138	.	.	3' UTR	1	352612	355124	2513	2	AT1G02020	2315	-197	3' UTR	-197	TES	TES
Chr1	354907	354907	1	*	all_cutsites_peak_139	.	.	Promoter	1	352612	355124	2513	2	AT1G02020	217	-2295	Promoter	217	TSS	TSS
Chr1	356913	356913	1	*	all_cutsites_peak_140	.	.	Promoter	1	355124	357258	2135	2	AT1G02030	345	-1789	Promoter	345	TSS	TSS
Chr1	359045	359045	1	*	all_cutsites_peak_141	.	.	Promoter	1	357906	359078	1173	2	AT1G02040	33	-1139	Promoter	33	TSS	TSS
Chr1	363200	363200	1	*	all_cutsites_peak_142	.	.	Promoter	1	360918	363142	2225	2	AT1G02060	-58	-2282	Promoter	-58	TSS	TSS
Chr1	364328	364328	1	*	all_cutsites_peak_143	.	.	Distal Intergenic	1	365165	367443	2279	1	AT1G02065	-837	-3115	Distal Intergenic	-837	TSS	Intergenic
Chr1	368287	368287	1	*	all_cutsites_peak_144	.	.	Distal Intergenic	1	366945	367166	222	2	AT1G02067	-1121	-1342	Distal Intergenic	-1121	TSS	Intergenic
Chr1	369443	369443	1	*	all_cutsites_peak_145	.	.	Distal Intergenic	1	370195	371090	896	2	AT1G02070	1647	752	Distal Intergenic	752	TES	Intergenic
Chr1	371720	371720	1	*	all_cutsites_peak_146	.	.	Distal Intergenic	1	370195	371090	896	2	AT1G02070	-630	-1525	Distal Intergenic	-630	TSS	Intergenic
Chr1	373390	373390	1	*	all_cutsites_peak_147	.	.	Promoter	1	373335	386913	13579	1	AT1G02080	55	-13523	Promoter	55	TSS	TSS
Chr1	387104	387104	1	*	all_cutsites_peak_148	.	.	Downstream (<=300bp)	1	387277	389808	2532	2	AT1G02090	2704	173	Downstream (<=300bp)	173	TES	TES
Chr1	389766	389766	1	*	all_cutsites_peak_149	.	.	Promoter	1	387277	389808	2532	2	AT1G02090	42	-2489	Promoter	42	TSS	TSS
Chr1	392750	392750	1	*	all_cutsites_peak_150	.	.	3' UTR	1	389812	392816	3005	1	AT1G02100	2938	-66	3' UTR	-66	TES	TES
Chr1	395634	395634	1	*	all_cutsites_peak_151	.	.	Promoter	1	395689	400001	4313	1	AT1G02120	-55	-4367	Promoter	-55	TSS	TSS
Chr1	400255	400255	1	*	all_cutsites_peak_152	.	.	3' UTR	1	399983	401919	1937	2	AT1G02130	1664	-272	3' UTR	-272	TES	TES
Chr1	401951	401951	1	*	all_cutsites_peak_153	.	.	Promoter	1	399983	401919	1937	2	AT1G02130	-32	-1968	Promoter	-32	TSS	TSS
Chr1	404508	404508	1	*	all_cutsites_peak_154	.	.	Promoter	1	403100	404456	1357	2	AT1G02140	-52	-1408	Promoter	-52	TSS	TSS
Chr1	408663	408663	1	*	all_cutsites_peak_155	.	.	Promoter	1	408622	410680	2059	1	AT1G02150	41	-2017	Promoter	41	TSS	TSS
Chr1	410675	410675	1	*	all_cutsites_peak_156	.	.	3' UTR	1	408622	410680	2059	1	AT1G02150	2053	-5	3' UTR	-5	TES	TES
Chr1	411707	411707	1	*	all_cutsites_peak_157	.	.	Promoter	1	411664	413554	1891	1	AT1G02170	43	-1847	Promoter	43	TSS	TSS
Chr1	414821	414821	1	*	all_cutsites_peak_158	.	.	Promoter	1	413522	414649	1128	2	AT1G02180	-172	-1299	Promoter	-172	TSS	TSS
Chr1	418642	418642	1	*	all_cutsites_peak_159	.	.	Promoter	1	418416	422579	4164	1	AT1G02205	226	-3937	Promoter	226	TSS	TSS
Chr1	420247	420247	1	*	all_cutsites_peak_160	.	.	5' UTR	1	418416	422579	4164	1	AT1G02205	1831	-2332	5' UTR	1831	TSS	Gene Body
Chr1	424627	424627	1	*	all_cutsites_peak_161	.	.	Intron (AT1G08785.1/AT1G08785, intron 1 of 1)	1	424479	425189	711	2	AT1G08785	562	-148	Intron	-148	TES	TES
Chr1	426650	426650	1	*	all_cutsites_peak_162	.	.	Distal Intergenic	1	427548	427811	264	2	AT1G02210	1161	898	Distal Intergenic	898	TES	Intergenic
Chr1	428493	428493	1	*	all_cutsites_peak_163	.	.	Distal Intergenic	1	427548	427811	264	2	AT1G02210	-682	-945	Distal Intergenic	-682	TSS	Intergenic
Chr1	431098	431098	1	*	all_cutsites_peak_164	.	.	Promoter	1	428650	430720	2071	2	AT1G02220	-378	-2448	Promoter	-378	TSS	TSS
